score,sentence1_tr,sentence2_tr
4.6,Arkansas Yüksek Mahkemesi infaz yasasını düşürdü,Arkansas Adalet Bakanlığı İdam Cezasını Düşürdü
4.2,S. Afrika'nın eski devlet başkanı Mandela hastaneden taburcu edildi,Mandela Hastaneden Taburcu Edildi
0.2,BM elçisi Suriye konulu görüşmeler için Türkiye'de,NZ Çin'e ihracatı artıracak
1.0,Mısır'daki Cumhurbaşkanlığı Seçimini İslamcı Mursi Kazandı,Mısır'da cumhurbaşkanlığı seçimlerinde El Şater yarışacak
1.6,"Donna Summer, disko kraliçesi",Disko Kraliçesi Donna Summer 63 Yaşında Öldü
3.6,"Polis, Bangladeşli Müslümanların Budist türbelerini yaktığını açıkladı",Müslümanlar Budist tapınaklarını meşaleler
0.4,ABD İhA'sı Pakistan'da Beş Militanı Öldürdü,Dağıstan'daki Saldırılarda 6 Polis Memuru Öldü
0.0,Mali'nin gelecekteki geçici cumhurbaşkanı göreve hazır,Papa bekarlık konusunda muhalif rahiplere kazık atıyor
1.2,"Kahire'deki son çatışmalarda 9 ölü, 168 yaralı","E. Afgan havaalanındaki intihar patlamasında 10 ölü, 12 yaralı"
3.8,Romney Maine Cumhuriyetçi partilerini kazandı,"Romney, geri dönüşte, dar Maine caucus galibiyetine sahip"
3.8,Bahreyn'deki mahkeme sağlık görevlilerinin son miting itirazını reddetti,Bahreyn aktivistlerin itirazını reddetti
3.6,Sandy Kasırgası Doğu Kıyısı'na doğru güç,Sandy Kasırgası ABD'ye doğru ilerliyor
0.0,Clinton'dan Suriye'nin dostlarına birleşme çağrısı,Plastik sanatçısı yeni yeteneklere daha fazla destek çağrısında bulundu
0.0,JK Rowling ilk yetişkin romanını başlattı,Suriye Halep'te kara saldırısı başlattı
2.4,Cezayir hükümet partileri seçimlere hakim,"Cezayir'de parlamento seçimlerine ulusal katılım 44,38 pct'ye ulaştı"
0.6,Yemen'de güvenlik görevlisi öldürüldü,Pakistan baskınında güvenlik personeli öldü
3.2,"ABD hisse senetleri, Yunan görüşmelerinin keresteyle birlikte düştü; Apple düşüyor",Yunan müzakereleri uzaırken ABD hisse senetleri Wall Street'te kayıyor
5.0,"Romney, Ryan'ı başkan yardımcısı olarak seçti: kaynak","Romney, Ryan'a başkan yardımcısı olarak başkanlık adaylığını koyuyor"
1.0,NATO Afganistan'da geçiş yol haritasına bağlı kaldı: Rasmussen,NATO helikopteri E. Afganistan'a sert iniş yaptı
1.4,Mübarek cinayet davasında kararla karşı karşıya,Mübarek'in oğulları içeriden bilgi sızdırmaktan yeni suçlamalarla karşı karşıya
2.0,Yatırım için blok yok,Hindistan Pakistan yatırımına izin veriyor
2.6,Pakistan'ın kuzeybatısındaki patlamada 11 ölü,Pakistan'ın Kuzeybatısında Bomba 19 Kişiyi Öldürdü
0.8,Afganistan'daki operasyonda 5 yardım görevlisi serbest bırakıldı,Afganistan'da intihar bombacısı camide 37 kişiyi öldürdü
3.6,Afganistan'da iki NATO askeri öldü,Afgan Patlamasında NATO Askeri Öldü
4.0,Nadal Fransa Açık finaline yuvarlandı,Nadal'dan yedinci Fransa Açık finaline
3.2,Rus televizyonu Putin'e yönelik girişimi engelledi,Habere göre Rusya ve Ukrayna Putin'i öldürme planını engelledi
4.4,"Putin, Rusya'daki başkanlık seçimlerinde zaferini ilan etti",Tartışmalı Rusya başkanlık seçimlerini Putin kazandı
5.0,Meksika mağarasında 167 cesedin kalıntıları bulundu,Meksika mağarasında 167 kişinin kalıntıları bulundu
4.0,öksüz alpler katliam kız İngiltere'ye döndü,Alpler saldırısı: Kız İngiltere'ye döndü
2.8,Obama ekibi tartışma bahislerini yükseltti,Obama tartışmada Romney'e karşı saldırıya geçti
0.8,Uçak kazasında ölen 6 kişi arasında iki Kenyalı bakan da var,"Polonya, 2010 uçak kazasında ölen cumhurbaşkanı onuruna"
2.8,Binlerce kişi Yeni Rusya'nın Putin karşıtı mitingi için toplandı,Binlerce kişi rakip mitingler için Moskova'da toplandı
3.8,Google yeni Motorola Mobility CEO'suna isim verdi,"Google, Motorola Mobility'yi çalıştırmak için Dennis Woodside'ı atadı"
4.4,Abd'nin Doğu Yakası'nda büyük Sandy Kasırgası,Sandy Kasırgası ABD Doğu Kıyısı'nı hedef aldı
3.4,Eshkol'a bir roket daha isabet etti; yaralanma yok,Eshkol'a 2 roket isabet etti; yaralanan yok
3.8,Bir gecede binlerce Suriyeli mülteci daha Türkiye'ye kaçtı,Bir gecede 8 bin Suriyeli mülteci Türkiye'ye kaçtı
4.0,Assange İngiltere'nin en üst mahkemesine iadesini temyiz etti,Assange İngiltere'nin en üst mahkemesine iadesini temyizeecek
2.0,Pakistan'ın çoğu bölgesinde şiddetli deprem sarsıntıları,Endonezya'nın doğusunu kuvvetli deprem vurdu
1.0,Lübnanlı Silahlı Kişiler Suriye Krizi Yüzünden Çatıştı,Suriyeliler Suriye krizine çözüm tutuyor
4.0,Mafya Kur'an yaktığı için adam öldürdü,Pakistan Mafyası 'Kuran Yaktığı İçin' Adamı Öldürdü
1.8,ABD'nin İhA saldırısı Kuzey Veziristan'da dört kişiyi öldürdü,ABD'nin İhA saldırısı Pakistan'ın kuzeybatısında 10 kişiyi öldürdü: Yetkililer
4.6,Salvador Dali tablosu New York galerisinden kaçırıldı,Salvador Dali tablosu NYC'de kaçırıldı
1.8,"Putin, Rusya'daki başkanlık seçimlerinde zaferini ilan etti",Putin'in Rusya'daki Seçim Zaferi Protestolarla Karşılanacak mı?
4.2,Sarkozy yeniden seçilme teklifini açıkladı,Fransız Nicolas Sarkozy yeniden seçilme teklifini resmiyende yaptı
4.6,ABD ve İngiltere acil petrol stoklarını serbest bırakma anlaşmasında,ABD ve İngiltere Acil Petrol Stoklarının Serbest Bırakılmasını Kabul Etmeye Hazırlanıyor
3.0,Euro Bölgesi'nde işsizlik yüzde 11 ile rekor seviyede kaldı,Euro Bölgesi'nde işsizlik Haziran'da rekor seviyede
3.8,Fransız Sosyalist Partisi parlamento zaferini kazandı,Fransız Sosyalistler mutlak parlamento çoğunluğunu kazandı
0.6,Tunus'ta Salafi İslamcılar ve polis çatıştı - tanıklar,İkinci İslamcı açlık grevcisi Tunus hapishanesinde öldü
3.8,Strauss-Kahn Fransız şebekesinde soruşturuldu,"Dominique Strauss-Kahn, Fransız çetesiyle ilgili sorularla karşı karşıya"
1.8,Florida Cumhuriyetçi ön seçimlerini Romney kazandı,Romney gözünü ABD'li Cumhuriyetçilerin ön seçim sonuna dikti
2.6,ABD'nin İhA saldırısı Kuzey Veziristan'da dört kişiyi öldürdü,Pakistan'da İhA saldırısı şüphesi 4 kişiyi öldürdü
2.4,Çin'de 2 Trafik Kazası 47 Ölü Bıraktı,Çin'de 3 trafik kazası 56 ölü bıraktı
0.0,CIA başkanı ilişki yüzünden istifa etti,Hall of Fame Capriati'ye çağrıda bulundu
4.0,Fransız Strauss-Kahn ahlak şebekesine karışmakla suçlanıyor,Strauss-Kahn ahlak ahlak şebekesinde suçlandı
3.6,Sony rekor yıllık zarar bildirdi,"Sony yıllık 6,4 milyar dolar zarar öngörüyor"
0.4,İsrail'in hava saldırılarında Gazze'de 12 kişi öldü,"Ictu, Ibec havayolu grevinde"
1.4,Ölümcül Irak gününden sonra saldırılarda 9 kişi öldü,Irak'taki Saldırılarda Ramazan Sonu Öncesinde 19 Kişi Öldü
4.4,Barclays'i yeni ABD soruşturmaları vurdu,Barclays taze ABD sondası tarafından vuruldu
0.4,ABD Suriye Büyükelçiliğini kapattı (AP),Ermenistan'da kapalı yollar
4.4,AB Suriye'ye yeni yaptırımlar yığıyor,"AB, Suriye rejimine yeni yaptırımlar uyguluyor"
3.4,Ruslar Putin yönetimine karşı miting yaptı,On binlerce kişi Putin yönetimine karşı miting yaptı (AP)
4.0,Bahreyn Grand Prix'si Protestolar Arasında Sürüyor,Bahreyn yarışı huzursuzluğun ortasında ilerliyor
1.4,Çin hisse senetleri Pazartesi günü düz açıldı,Çin hisse senetleri Çarşamba günü karışık açıldı
4.6,Sheryl Crow iyi huylu beyin tümörü olduğunu söylüyor.,Sheryl Crow'un İyi Huylu Beyin Tümörü Var
3.8,Afgan parlamentosu ABD-Afgan güvenlik anlaşmasını onayladı,Afgan parlamentosu ABD ortaklığını onayladı
0.6,Kenya'daki hava kazasında iki Alman turist ve iki pilot öldü,Senatör Reid Las Vegas araba kazasına karıştı: CNN
3.6,İsrailli ve Filistinli müzakereciler sessizce bir araya geldi,İsrailli ve Filistinli müzakereciler Ürdün'de bir araya geldi
3.6,ABD'li astronot Neil Armstrong 82 yaşında öldü,ABD'li astronot Neil Armstrong hayatını kaybetti
4.2,Af Örgütü: Suriye'de isyancılar da suistimallerde bulunuyor,Af örgütü müfettişi: Suriye'de isyancılar da suistimallerde bulunuyor
1.6,Indiana'daki Cumhuriyetçi ön seçimlerini Mitt Romney kazandı,Florida Cumhuriyetçi ön seçimlerini Romney kazandı
4.0,Doğu Alman hak aktivisti Gauck cumhurbaşkanı seçildi,Joachim Gauck Almanya cumhurbaşkanı seçildi
2.4,Güney Afrika mayın şiddetini araştırmaya başladı,Güney Afrika mayın açmazında 'barış görüşmelerine' ev sahipliği yaptı
0.4,"SW Çin kazasında 3 ölü, 27 yaralı","Hindistan'daki tekne kazasında 35 ölü, 165 kayıp"
1.0,Santorum Minnesota Zaferine Romping,Santorum Kansas'ı kazandı
4.0,Uzay efsanesi Neil Armstrong hayatını kaybetti,Aydaki ilk insan Neil Armstrong 82 yaşında öldü
4.8,"ABD ve Türkiye, Suriye için uçuşa yasak bölgeleri tartıyor","Türkiye ve ABD, Suriye için uçuşa yasak bölgeleri tartıyor"
0.8,Çifte cinayetten tutuklanan adam,WA'lı adam polisin uyuşturucu baskınında tutuklandı
2.8,Florida ilçeleri erken oylamayı uzattı,Fla. Demokratlar erken oylama saatlerinin uzatılmasını istiyor
3.8,Savaş gemisi Falklands'a doğru yola çıkıyor,İngiliz Savaş Gemisi Falkland'a Doğru Yola Çıkıyor
1.0,"Newcastle 2-0 Liverpool: Maç raporu, resimler ve video özeti","QPR 1-2 West Ham: Maç raporu, resimler ve video özeti"
2.8,Filistinli tutuklular açlık grevine son noktayı vuracak,Filistinli tutuklu açlık grevi görüşmelerinde ilerleme kaydedildiği bildirildi
1.0,Polis: Alman rehine alma olayında dört kişi öldü,Filistinliler: Kuzey Şeridi'ndeki IDF saldırısında 12 kişi öldü
4.25,"Mısır, Mübarek PM'nin cumhurbaşkanlığı yarışına geri dönmesine izin verdi","Mısır, Mübarek'in başbakanının cumhurbaşkanlığı yarışına geri döndüğünü doğruladı"
0.6,Suriyeli gazeteciler başkentte öldürüldü,ABD Deniz Piyadeleri üs saldırısında öldü
2.4,GOP adayı Romney Suriyeli isyancıları silahlandırmaya çağıracak,ABD'nin Suriye'li isyancılara silah yardımı
4.4,BM gözlemci devriyesi Suriye katliamı bölgesine ulaştı,BM gözlemcileri Suriye katliam köyüne ulaştı
0.0,American Airlines ve Pilotlar Yeni Sözleşme Üzerinde Anlaştı,Romney'den İran tehdidi konusunda 'İsrail'in yanında durma' sözü
2.8,Yunan Başbakanı yeni seçimi açıklayacak,Yunan Başbakanı'ndan 6 Mayıs genel seçimi çağrısı
1.6,Kanada Hükümeti Değişime Öncülük Eden Montréal Kadınlarını Destekliyor,Kanada Hükümeti Regina'da Kadın Güvenliğini Destekliyor
3.2,Mulayam Üçüncü Cephe'ye yer verirse sorun yok: Kongre,Mulayam üçüncü cepheyi oluşturursa sorun yok: Digvijay
0.0,Furyk kaybolurken Bradley Firestone'da zafere ulaştı,Bahreyn mahkemesi ayaklanma liderlerine verilen cezaları onadı
2.2,Gana'daki uçak kazası en az 10 kişinin dirisini öldürdü,Gana'daki Uçak Kazası: Uluslararası medya bunu nasıl haber yaptı?
1.8,Afgan bombalı saldırısında 6 ABD askeri öldü,Afganistan'da 6 NATO askeri öldürüldü
1.6,Suriye güçleri Halep saldırısı düzenledi,Suriye güçleri Annan barış misyonu öncesinde 54 kişiyi öldürdü
1.0,Romney ve Obama Medicare'de avantaj için savaşıyor,"Obama ve Romney kararsızlar için yarışıyor, Stoke Üssü"
3.6,BBC genel müdürü 'adi gazetecilik' nedeniyle istifa etti,BBC Genel Müdürü Newsnight Skandalı Üzerine İstifa Etti
4.8,Rick Santorum Kansas'ta kazandı,Rick Santorum Kansas'ta bir zafer kazandı.
3.2,İslamcı liderliğindeki Mısır'da Kıpti Kilisesi yeni papanın adını aldı,Mısırlı Hristiyanlar yeni papayı seçti
5.0,ABD Haiti'yi yeniden inşa etme sözü yerine getirilmiyor,ABD'nin Haiti'yi Yeniden İnşa Etme Sözü Yerine Getirilmiyor
1.0,Çin hisse senetleri Perşembe günü daha yüksek kapandı,Çin hisse senetleri Çarşamba günü karışık açıldı
3.6,Yunanistan 2013 bütçesini oyacak; protestocular toplandı,Yunanistan 2013 bütçesini oyacak
4.0,"ABD ve AB, İran'ın Nükleer Müzakereleri Yeniden Başlatma Önerisini İhtiyatlı Bir Şekilde Memnuniyetle Karşıladı","ABD ve AB, İran'ın nükleer müzakereleri yeniden başlatma teklifini memnuniyetle karşıladı"
2.8,Clinton Kenya'ı seçim şiddetinin maliyeti konusunda uyardı,Clinton Kenya'ya 2007 oy kaosunun tekrarı konusunda uyardı
3.8,Film Üzerinden Amerikan Karşıtı Protestolar Yaklaşık 20 Ülkeye Genişliyor,Anti-Amerikan öfkesi Orta Doğu'yu film üzerinden süpürüyor
1.0,Gazeteciler Londra Olimpiyatları'nın açılışını selamladı,İsrail heyeti 2012 Olimpiyatları açılışında yürüdü
1.5,Aust hisseleri daha düşük açıldı,Tokyo hisseleri daha düşük açıldı
3.4,WikiLeaks iki milyon Suriye e-postası yayınlamaya başladı,WikiLeaks Suriye Belgeleri Hazinesini Serbest Bırakıyor
3.0,Filistinliler: İsrail'in kıyı şeridine düzenlediği hava saldırısında 2 Gazzeli militan öldü,Yetkililer: gazzeli adam İsrail hava saldırısında öldü (AP)
4.6,Mali Cumhurbaşkanı İstifa Etti,Mali Devlet Başkanı Resmen İstifa Etti
1.4,Nijerya'daki intihar bombacıları saldırısında 3 kişi öldü,Nijerya sığır pazarı saldırısında 60 kişi öldü
1.6,"FACTBOX-Irak'taki güvenlik gelişmeleri, 1 Şubat","FACTBOX-Pakistan'daki güvenlik gelişmeleri, 13 Mart"
4.2,"HRW: Ürdün, Suriye'den gelen Filistinlilere karşı önyargılı","Ürdün, Suriye'den gelen Filistinlilere karşı önyargılı"
3.8,İsrail dünyanın en iyi silah ihracatçıları arasında: rapor,İsrail en iyi silah ihracatçıları ve ithalatçıları arasında
0.8,Mısırlılar yeni cumhurbaşkanı için oy kullanacak,Somalili milletvekilleri yeni cumhurbaşkanını seçecek
5.0,Federer 7. Wimbledon Şampiyonluğunu Kazandı,Federer 7. Wimbledon şampiyonluğunu yakaladı
3.6,Kaide liderinden Mısır'daki Batılıların kaçırılması çağrısı,El Kaide Liderinden Batılıların Kaçırılması Çağrısı
2.6,Çin hisse senetleri Cuma gününü karışık kapattı,Çin hisse senetleri Cuma günü öğle saatlerinde yükseldi
1.6,Otobüs kazasında 43 kişi öldü,Hindistan'daki kazada 15 kişi öldü
4.0,Putin Rusya devlet başkanı olarak yemin etti,Putin 6 yıl boyunca Rusya devlet başkanı olarak yemin etti
0.0,Çin ticareti Mart'ta artıya döndü,Tel Aviv'in güneyine gergin sakin dönüşler
2.2,Başkan Yardımcılığı tartışmasının öne çıkan özellikleri,Başkanlık münazarasında izlenecek beş şey
1.4,"Tam Bölüm: Nightline 6/29: Katie Holmes, Tom Cruise boşanmak için",Cruise-Holmes boşanmasında velayet ve görüntüler tehlikede
3.0,Suriye rejimi Houla katliamındaki rolünü inkar etti,"Suriye, 100'den fazla Houla katliamından isyancıları sorumlu tuttu"
4.4,Güney Sudan Sudan'ı görüşmeler öncesinde bombalama yapmakla suçladı,S. Sudan Sudan'ı müzakerelere darbe vurarak bombalamakla suçladı
0.0,Pakistan'daki silahlı saldırıda 9 kişi öldü,Ukrayna'da beş milyon vatandaş resmi olmayan maaş alıyor
3.2,"Suriye garanti istiyor, isyancılar barış planının sona ermiş olduğunu söylüyor",Suriye asker geri çekilmesi için yazılı garanti talep ediyor
3.8,Minn. terminali tahliyeden sonra yeniden açılıyor,"Minn. Terminali, Torba Tahliyeye Neden Olduktan Sonra Yeniden Açılıyor"
4.0,Golf: Westwood Dubai Desert Classic'te öne geçti,Westwood bir Dubai Çöl Klasiği önünde
2.8,"Sudan, İslam Karşıtı Film Yüzünden YouTube'u Engelledi","Pakistan Başbakanı, YouTube'un İslam karşıtı film yüzünden durdurulmasını emretti"
1.4,Rusya devlet başkanlığı seçimlerinde sandıklar açıldı,Senegal'deki cumhurbaşkanlığı seçimlerinde sandıklar kapandı
4.4,Chavez radyoterapi için küba'ya tekrar gidiyor,Chavez Küba'da daha fazla radyoterapi için ayarlandı
0.6,Romanya cumhurbaşkanı zaferini ilan etti,Çin devlet başkanı Danimarka'ya devlet ziyaretini tamamladı
3.6,Ruslar Pussy Riot tartışmaları üzerine Ortodoks kilisesine destek mitingi yaptı,Rus Ortodoks Kilisesi eleştirilerden sonra inançlı mitingler
1.4,"Clinton, bağlara hayat vermek için Hindistan'a indi","Clinton, Grameen Bank'ı Baltalamaması Konusunda Uyardı"
4.2,Mali geçici lideri göreve başladı,Mali'nin Geçici Cumhurbaşkanı Yemin Etti
3.8,"Putin, Rusya Başkanlık Oylamasında Zaferini İlan Etti","Putin, Rusya'nın başkanlık seçimlerini 'kazandı'"
1.6,"AL, Suriye'deki şiddet olaylarını kınayı yeniledi","ABD, Suriye'deki şiddet olayları nedeniyle Şam'daki büyükelçiliğini kapattı"
3.4,"AB, Esad ailesine yaptırımları tokatladı","AB, Esad'ın eşine yaptırım uygulama; havan topları Humus'a isabet etti"
1.8,Hava Kuvvetleri Eğitmeni Tecavüz suçundan Cezayla Karşı Karşıya,Kadınlar Hava Kuvvetleri eğitmeninin hükmünde ifade verdi
3.8,30'dan fazla grevci madenci öldürüldü,Güney Afrika'da 30'dan fazla grevci madenci öldü
2.6,Demir Kubbe 17 roketin önünü kesti,"Demir Kubbe, Biraheba'ya atılan iki roketin önünü kesti"
4.5,Malili İslamcılar 'daha fazla Timbuktu mabedi'ni yok ediyor,Malili İslamcılar daha kutsal Timbuktu bölgelerini yok ediyor
1.8,Çin hisse senetleri pmi'da gün ortasında yükseldi,Çin hisse senetleri Perşembe günü yükseldi
0.0,Bilim İnsanları Tarih Öncesi Tohumlardan Çiçekleri Diriltiyor,"Nintendo kırmızı mürekkep kırpıyor, yıl için tahmini düşürüyor"
2.6,Vatikan'daki sızıntı davasında suçlu bulunan adam,"Uşak ""Vatileaks"" davasında yargılanacak"
2.8,"Romney, Paul vie Maine caucus galibiyeti için",Romney dar Maine caucus galibiyeti var
3.8,Mezhep çatışmaları Lübnan'ın Trablusşam kentini salladı,"Mezhep çatışmaları Lübnan şehrini salladı, 3 kişi öldü"
3.4,"Repsol, Arjantin'i YPF'nin kamulaştırılması konusunda patlattı","Repsol, Arjantin'i petrol kamulaştırması konusunda patlattı"
1.4,"Arjantin'deki tren kazasında çok sayıda ölü, 550 yaralı",Buenos Aires'teki tren kazasında 49 kişinin ölmesinden korkuluyor
4.0,Aung San Suu Kyi İngiliz milletvekillerine seslenmek için,Burma'dan Aung San Suu Kyi Haziran ziyaretinde parlamentoya hitapecek
4.0,Şerif: Adam 42 yıl sonra çalıntı arabayı kurtardı,ABD'li adam hırsızlık olayından 42 yıl sonra arabayı geri çıkardı
4.0,Google CEO'su Android'in kritik değil önemli olduğunu söylüyor,"Larry Page Android'in önemli olduğunu söylüyor, kritik değil"
3.6,İran daha fazla AB ülkesine petrol ihracatını azaltabilir,İran milletvekilleri bazı AB ülkelerine petrol ihracatını yasaklamaya hazır olduğunu söyledi
0.8,Pakistan'da Fabrika Yangınları En Az 260 Kişiyi Öldürdü,Pakistan'daki Silahlı Çatışmada En Az Altı Ölü
0.0,Endonezya'da kaybolan uçaktaki dört kişi arasında Avustralyalı da var,İranlı ressam Mansoureh Hosseini hayatını kaybetti
3.8,Romney 'Amerika'nın vaadini' geri getirmeye yemin etti,Romney'den 'Amerika'yı Restore Etme' Sözü
0.6,Santorum'un 3 yaşındaki kızı hastaneye kaldırıldı,'Kony 2012' yönetmeni hastaneye kaldırıldı
1.2,Mandela hastaneden taburcu edildi,İsrail cumhurbaşkanı hastaneden taburcu edildi
3.8,Jaya Prada BJP'ye katılmaya hazır,"Jaya Prada muhtemelen BJP'ye katılacak, Amar Singh onun için karar verecek"
2.8,Hizbullah'ın Nasrallah'ı ABD'ye İslam karşıtı film konusunda uyardı,Hizbullah'tan İslam karşıtı film protestolarına daha fazla çağrı
3.2,"Nadal, 7. Fransa Açık şampiyonluğu için Djokovic'i devirdi","Tenis: Nadal, Monte Carlo şampiyonluğu için Djokovic'i yendi."
3.0,Çocuk bakım maliyetleri yaklaşık %6 arttı,Çocuk bakımı 'yılda 15.000 £ 'a mal oluyor'
3.4,Obama'dan Avrupa'daki borç krizi konusunda kararlı hareket çağrısı,Obama'dan Avrupa'ya kriz konusunda hızlı hareket çağrısı
1.0,Sığır burger karışımı salmonella endişeleri üzerine geri çağrıldı,Choc tozu salmonella endişeleri üzerine geri çağrıldı
4.2,Obama ve Romney İlk Tartışmaya Hazırlanıyor,Obama ve Romney tartışmaya hazır
0.8,Kenya açıklarında ilk önemli gaz bulundu,Kenya'daki son kara çatışmalarında akıncılar 38 kişiyi öldürdü
2.2,Pakistan'da KızılHaç çalışanı öldü,Kaçırılan İngiltere yardım görevlisi Pakistan'da öldürüldü
3.4,Gazze'den İsrail'in güneyine 8 roket atıldı; zarar görmemiş,Gazze'den 10 roket İsrail'in güneyi karaya indi; zarar görmemiş
1.6,Afganistan'daki silahlı saldırıda ABD askeri öldü,Afganistan'da beş NATO askeri öldü
0.8,Mısır cumhurbaşkanlığı seçimlerinde sandıklar kapandı,Basın Bültenleri: Yemen Cumhurbaşkanlığı Seçimi
1.2,Polis Savile iddialarını 'bağlamadı',"BBC, Savile davasını geri çektiği için sorularla karşı karşıya"
3.4,Euro Bölgesi'nde işsizlik yüzde 11 ile rekor seviyede kaldı,Euro Bölgesi'nde işsizlik rekor seviyeye ulaştı
4.2,James Murdoch BSkyB'den ayrıldı,James Murdoch BSkyB'deki görevinden ayrıldı
4.8,İkonik bilim kurgu yazarı Ray Bradbury 91 yaşında öldü,Bilim kurgu efsanesi Ray Bradbury 91 yaşında öldü
0.6,Mısır cumhurbaşkanlığı seçimi 23-24 Mayıs,ABD başkanlık seçimleri 2012
3.4,Afgan intihar patlamasında dört Fransız askeri öldü,Afgan doğusunda 4 yabancı asker öldü
4.0,BM gözlemcileri Suriye katliamının izlerini buldu,BM ekibi Suriye katliamını soruşturuyor
3.6,AP anketi: ABD'de çoğunluğun siyahlara karşı önyargısı var,AP Anketi: Çoğunluk Siyahlara Karşı Önyargı besliyor
4.2,AP Kaynak: Redskins 2 numaralı seçim için takas olacak,Redskins takası 2 numaralı seçim için
4.0,"Çin, savunma bütçesinin 2012'de %11,2 artacağını açıkladı","Çin'in savunma harcamaları %11,2 artacak"
0.0,Irak'taki patlamalar dizisi en az 32 kişiyi öldürdü,Güçlü İtalya Depremi En Az Altı Kişiyi Öldürdü
3.8,"Ekvador Devlet Başkanı Correa, Assange ilticası hakkında karar alınmadığını açıkladı","Ekvador, Assange'ın ilticası konusunda henüz karar vermedi"
3.8,ABD 10 milyon ABD doları teklif ediyor. Pakistan militanı için,"ABD, Pakistanlı militan şefi için 10 milyon dolar teklif etti"
3.8,Afganistan IED saldırısında 6 NATO askeri öldü,Afganistan'da 6 NATO askeri öldürüldü
0.8,Usame Bin Ladin Eşleri Hapse Girecek,Usame Bin Ladin filmi Hindistan'da çekilecek
4.0,Mısırlılar simgesel cumhurbaşkanlığı seçimlerinde oy kullandı,Mısırlılar tarihi seçimlerde sandık başına gidiyor
3.8,"Uçuşu bozan JetBlue pilotu deli ilan edildi, suçsuz",Uçuşta aksamaya neden olan JetBlue pilotu suçsuz
2.2,Tsunami uyarısı: SA'nın paniğe kapılmasına gerek yok,Aceh depremi sonrası tsunami uyarısı
4.8,ABD Bagram Hapishanesini Afgan Yetkililere Devrediyor,ABD Bagram hapishanesini Afgan kontrolüne devredecek
2.0,"Jeremy Hunt, 'haddini aştığını' söyleyen danışmanla arasına mesafe kat ediyor","Jeremy Hunt, SpAd News Corp e-postaları üzerinden istifa ederken tutunuyor"
0.4,Obama'dan ABD-Latin Amerika ticari ilişkilerine övgü,Obama Gizli Servis ajanları evlerine gönderildi
2.0,Blitzbokke Fiji tarafından düşürüldü,Blitzbokke NZ tarafından yenildi
0.4,Obama ve Romney salıncak devletlere odaklandı,Anna Takımı eyalet anketlerine itiraz etme konusunda henüz karar vermedi
0.2,'El bombası saldırısı' bir kişiyi öldürdü ve en az 11 kişiyi yaraladı,Kadına cinsel saldırı soruşturuldu
1.4,Suriye'de 'çok sayıda ceset' bulundu,Gemide 8 ceset daha bulundu
0.8,Tetikçi ABD'li siyahi genci öldürmekle suçlanıyor,Siyahi bir başkan altında ırk ilişkileri üzerine düşünceler
1.8,Jonny Bairstow ve Eoin Morgan Mumbai'de İngiltere için parladı,Bairstow Hindistan tur maçında ton vurdu
4.4,Rüzgar çiftliği geliştiricilerinin 'türbinleri olduğundan daha küçük göstermek için kamera hilelerini kullanmaları',Türbinlerin daha küçük görünmesini sağlamak için 'hileler' kullanan rüzgar çiftliği geliştiricileri
2.4,ABD İhA'sı Pakistan'da altı militanı öldürdü: Yetkililer,ABD füzeleri Pakistan'da 15 kişiyi öldürdü: Yetkililer
2.6,Nijerya: Nijerya askerleri öğrenci katliamında 40 kişinin öldürülmesinin ardından akın etti,Nijerya polisi üniversite katliamından sonra tutuklamalar yapıyor
2.2,Sinirler Sakinleşti - Şimdilik : Piyasalar İspanyol Bankası Kurtarma Paketi Üzerinde Rahatlamaya Atladı,İspanya'nın Banka Kurtarma Paketini Güvence altına Almasının Ardından Odak Yunanistan'a Kayıyor
1.4,Suriye'nin Halep kentinde Ağır Çatışmalar Rapor Edildi,Şam'da şiddetli çatışma rapor edildi
1.8,Fransa: Yunanistan Avro Bölgesi için güvenilirlik göstermeli,"Fransız bakan Hollande Yunanistan'a destek verdi, ancak güvenilir reform çağrısında bulundu"
1.2,Avengers gişe rekoru kırdı,Açlık Oyunları ABD gişe rekoru kırdı
1.0,Afganistan'da 4 Fransız Askerinin Öldüğü Bildirildi,Afganistan'da İngiliz askeri öldürüldü
3.4,İspanyol kurtarma ikilemi daha akut hale geliyor,İspanyol ikilemi daha akut hale geliyor
0.6,NATO askeri Afganistan'da öldü,Afganistan'da iki Aust askeri yaralandı
2.4,Çin hisse senetleri Çarşamba günü daha düşük açıldı,Çin hisse senetleri Cuma günü daha düşük açıldı
1.0,Filistin yönetimi İsrail FM'in Abbas'ı devirme çağrısını kınadı,Filistin yönetimi Fetih-Hamas Doha anlaşmasına destek verdi
4.8,Maryland GOP ön seçimlerini Mitt Romney kazandı,Romney Maryland Cumhuriyetçi ön seçimlerini kazandı
3.6,Adam çalındıktan 42 yıl sonra eBay'de araba buldu,Teksaslı adam arabasını çalındıktan 42 yıl sonra buldu
3.4,Sylvester Stallone'un oğlu Hollywood'da ölü bulundu,Sylvester Stalloneâ€™ın oğlu Sage Stallone Hol'da ölü bulundu
2.8,NATO: Afgan direnişçilerden 4 yardım görevlisi kurtarıldı,Afganistan'daki operasyonda 5 yardım görevlisi serbest bırakıldı
1.8,"Rusya, Pussy Riot protesto serserilerini iki yıl hapse attı",Rus mahkemesi Pussy Riot davasında kararacak
